house_number,street,city,zipcode,country
505,Fair Oaks,San Juan,918,Puerto Rico
19,Killdeer,Magtangol,1114,Philippines
326,Maple Wood,Osilnica,1337,Slovenia
6,Northwestern,Fredrikstad,1616,Norway
739,Florence,Basa,2316,Philippines
7,Rigney,Carot,2405,Philippines
1,Helena,Šmarje pri Jelšah,3240,Slovenia
56,International,Nongoma,3950,South Africa
5,Dakota,Agoncillo,4211,Philippines
66488,Burrows,Zgornje Gorje,4247,Slovenia
0,Arizona,Manga,4506,Philippines
6,Stephen,Puerta de Corral Quemado,4751,Argentina
6,Jackson,Mthatha,5127,South Africa
1,Londonderry,Elliot,5460,South Africa
52,Steensland,La Playosa,5911,Argentina
641,Helena,Lugo,6008,Philippines
10,Milwaukee,Rufino,6100,Argentina
208,Myrtle,Aurora,7020,Philippines
25495,Judy,Victoria West,7071,South Africa
799,Springs,Siocon,7120,Philippines
21,Cody,Takaka,7142,New Zealand
65,Dryden,Pukkila,7560,Finland
5,Bashford,Davao,8000,Philippines
8,Monument,San Miguel,8301,Philippines
1,Briar Crest,Buenavista,8601,Philippines
4,Burning Wood,Magallanes,8604,Philippines
81,Helena,Libertad,9021,Philippines
6603,Clove,Batasan,9401,Philippines
1704,Lighthouse Bay,Schellenberg,9488,Liechtenstein
502,Pepper Wood,Kiamba,9514,Philippines
47,Pierstorff,Bultfontein,9670,South Africa
8113,Jackson,Pizarrete,10608,Dominican Republic
5,Hoffman,Laspezia,19139,Italy
7,New Castle,Donostia-San Sebastian,20005,Spain
3,Cottonwood,Kuala Terengganu,20668,Malaysia
88,Sheridan,Elektrėnai,26001,Lithuania
475,Everett,Vuka,31403,Croatia
8023,South,Vigo,36215,Spain
17363,Vera,Kangasala,36270,Finland
7,Meadow Valley,Loma Bonita,37420,Mexico
9842,Hanover,Magdeburg,39130,Germany
5,Buhler,Valencia,46025,Spain
3597,Del Sol,Ceuta,51005,Spain
9,Ludington,El Carmen,54927,Mexico
86,8th,La Loma,61663,Mexico
47733,Mariners Cove,Morelos,62577,Mexico
831,Kenwood,San Isidro,64103,Mexico
52,Di Loreto,Shawnee Mission,66276,United States
812,Kipling,Sukhothai,75120,Thailand
31449,Derek,Barranquilla,80020,Colombia
601,Mayfield,Kota Kinabalu,88628,Malaysia
523,Golden Leaf,Kota Kinabalu,88661,Malaysia
5,Alpine,Francisco Villa,89762,Mexico
5,Sunnyside,Hat Yai,90110,Thailand
40160,Almo,Betong,95110,Thailand
3074,Talmadge,Seattle,98104,United States
15,Old Shore,Bourail,98870,New Caledonia
1534,Pawling,Rusnė,99047,Lithuania
26,Meadow Valley,Anchorage,99522,United States
906,Butternut,Bronnitsy,142451,Russia
88181,Gulseth,Shuya,143172,Russia
1189,Alpine,Petrovskoye,152130,Russia
5,Briar Crest,Valuyki,309999,Russia
3,David,Annino,346516,Russia
12815,Main,Kislyakovskaya,352020,Russia
6924,Farragut,Dmitriyevskoye,356041,Russia
443,Dakota,Kurchaloy,366319,Russia
20,Barby,Spas-Klepiki,391030,Russia
59210,Commercial,Pridonskoy,394091,Russia
75015,Shoshone,Krasnotur’insk,624449,Russia
27,Alpine,Floridablanca,681008,Colombia
7,Trailsway,Socorro,683558,Colombia
50,Gerald,Lérida,731027,Colombia
656,Talmadge,Arauca,810009,Colombia
379,Kensington,Pamiątkowo,00-805,Poland
1,Lighthouse Bay,Lisboa,1000-005,Portugal
867,Coolidge,Cambebba,11990-000,Brazil
71848,Scofield,Araras,13600-000,Brazil
1630,Sundown,Lelkowo,14-521,Poland
4,Emmet,Stockholm,164 83,Sweden
9,Golden Leaf,Solna,169 05,Sweden
11570,Rusk,Sundbyberg,174 44,Sweden
8909,Pierstorff,Nielisz,22-413,Poland
